,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL,data_chart
131,"Certo e Duvidoso (feat. Gaab) - Ao Vivo","Marcos & Belutti",102812,https://open.spotify.com/track/6TL6UYmqRVC5PuVQb0R1h5,2020-10-08
132,Reincidente,"Felipe Araújo",102781,https://open.spotify.com/track/3XG1frltSxibGuYLPucxl8,2020-10-08
133,"Ouvi Dizer",Melim,102723,https://open.spotify.com/track/1qCLx3nX25NuhfPjM5E1qV,2020-10-08
134,"Xereca de Mel","Shevchenko e Elloco",102474,https://open.spotify.com/track/3csAhPJlNeCDnvuTdT8RQw,2020-10-08
135,"Se Namorar Fosse Bom - Ao Vivo","Os Barões Da Pisadinha",102468,https://open.spotify.com/track/1UA7l6cbAukGucRgAUVePo,2020-10-08
136,"Meu talismã",IZA,102427,https://open.spotify.com/track/5aayWOEE7u7bxZ3r7dwIrX,2020-10-08
137,"On & On",Alok,101376,https://open.spotify.com/track/7sYAS4CpbV90oSemgaEQat,2020-10-08
138,Heather,"Conan Gray",100522,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA,2020-10-08
139,"Savage Love (Laxed – Siren Beat) [BTS Remix]","Jawsh 685",100048,https://open.spotify.com/track/4TgxFMOn5yoESW6zCidCXL,2020-10-08
140,"Um Pedido","Hungria Hip Hop",99676,https://open.spotify.com/track/3CgZi8DMUftJHK6WL2gKc1,2020-10-08
141,"Pra Você Guardei O Amor","Nando Reis",99479,https://open.spotify.com/track/1EQ8sBQ7Abv9DvNBzhXAcv,2020-10-08
142,"Como Se Tá Maravilhosa","Mc Lipi",98580,https://open.spotify.com/track/0eLCuW89pb6I3BC0NMGHFW,2020-10-08
143,"Head & Heart (feat. MNEK)","Joel Corry",97796,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9,2020-10-08
144,"Savage Love (Laxed - Siren Beat)","Jawsh 685",97767,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c,2020-10-08
145,"Áudio - Ao Vivo em Brasília","Diego & Victor Hugo",97187,https://open.spotify.com/track/2PqPSf3gtTED79rWGwVtYg,2020-10-08
