,Position,"Track Name",Artist,Streams,URL,data_chart
106,"Meu Abrigo",Melim,119863,https://open.spotify.com/track/5U28PY9MekLyCBYtLHGQpe,2020-12-01
107,"A Gente Fez Amor - Ao Vivo","Gusttavo Lima",119817,https://open.spotify.com/track/3tv697PZNnaQN0Mn2zGhS5,2020-12-01
108,"Senta no Fazendeiro","Mc Jacaré",119648,https://open.spotify.com/track/1wsL4Lgoo27ETnLt6svbnT,2020-12-01
109,"Faz a Pose","MC Teteu",119224,https://open.spotify.com/track/1sTVKLLFDfAfowsG4bRBN4,2020-12-01
110,34+35,"Ariana Grande",118303,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF,2020-12-01
111,"Saudade Sua","Gusttavo Lima",117114,https://open.spotify.com/track/6NM06xgqxQ0HU5lxbt2JHi,2020-12-01
112,"Dance Monkey","Tones And I",115996,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2020-12-01
113,"Cheirosa - Ao Vivo","Jorge & Mateus",115338,https://open.spotify.com/track/2PWjKmjyTZeDpmOUa3a5da,2020-12-01
114,"Meu Lado da História",Nandx710,114948,https://open.spotify.com/track/08LiZsFrLkWYtd20jeqWLh,2020-12-01
115,Pupila,ANAVITÓRIA,114391,https://open.spotify.com/track/7Gk5OrMYaMRtT2JmgJVAfk,2020-12-01
116,"Senta Concentrada (feat. MC WS)","MC Mari",114074,https://open.spotify.com/track/62tcTmWpOcqFfZNWrheU1T,2020-12-01
117,"Mentira - Ao Vivo","Felipe Araújo",113484,https://open.spotify.com/track/3oe0vGmQxem3DcarYMuzu1,2020-12-01
118,"Midnight Sky","Miley Cyrus",113032,https://open.spotify.com/track/4i2qxFEVVUi8yOYoxB8TCX,2020-12-01
119,"Deixa (feat. Ana Gabriela)",Lagum,110075,https://open.spotify.com/track/3fLqmaO4vvZpFZSZy52VMp,2020-12-01
120,"Someone You Loved","Lewis Capaldi",110025,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2020-12-01
121,"Tô Torcendo - Ao Vivo","Gusttavo Lima",109895,https://open.spotify.com/track/74mtYZvn0rZm4EKrQwmOoX,2020-12-01
122,"E Nós Tem um Charme Que É da Hora","Mc Dricka",109016,https://open.spotify.com/track/4koUrXFuoId1b6wrMF3laS,2020-12-01
123,"Então Toma - Ao Vivo","Matheus & Kauan",108730,https://open.spotify.com/track/5yaXBGNko8lmFSOvKWo99j,2020-12-01
124,"Tá Faltando Eu","Luan Estilizado",108150,https://open.spotify.com/track/3gY2oyydautEwY7SsQeF4Q,2020-12-01
125,Separei,"MC WM",107297,https://open.spotify.com/track/16uUeKOV7m51Vlx9oUIEvE,2020-12-01
126,"Tudo no Sigilo (Vytinho NG e Bianca)","Vytinho NG",106668,https://open.spotify.com/track/60wF0XnX7A0jVpDNA5v8vi,2020-12-01
127,"Elas Gostam de Gasolina - Ao Vivo","Anderson & Vei da Pisadinha",106379,https://open.spotify.com/track/3tkEf7vw4zDBFAQxY1vdcv,2020-12-01
128,"Cuidado Que Eu Te Supero","Yasmin Santos",106331,https://open.spotify.com/track/5J4tK2FbXQEeC0AsfFgwpz,2020-12-01
129,"Declaração pro Bar - Ao Vivo","Guilherme & Benuto",105890,https://open.spotify.com/track/48CAeajgzcGJaVUSsXd7h0,2020-12-01
130,"Só Você","Leo Santana",105826,https://open.spotify.com/track/2cV8V9eV79HWJHD4jNQHqq,2020-12-01
131,"Supera - Ao Vivo","Marília Mendonça",105323,https://open.spotify.com/track/3GmJxfnUDrIs1iCfKUELFz,2020-12-01
132,"Vira Homem","Marília Mendonça",104804,https://open.spotify.com/track/0GrEqRHf5FioT1hOB8PBxZ,2020-12-01
133,"Quase uma Semana",BIN,104713,https://open.spotify.com/track/4a5YIaK7qFu6T63GeYx1Ih,2020-12-01
134,"On & On",Alok,104263,https://open.spotify.com/track/7sYAS4CpbV90oSemgaEQat,2020-12-01
